speaker,utterance_id,processed_pcm_sha256,reference_sha256,hypothesis_sha256,reference_words,hypothesis_words,hits,substitutions,deletions,insertions,errors,wer
ABA,arctic_a0001,143852ab127aa1e0a0b9b61fed3f4fb28c28057780942ecab416eda4cfa492a3,528a01f8330f12d7d447f48778fed384071bef712ad0e8a45c2418c2e7c2000c,5254079ade8c7073495ff777d41e6635e47c2ed4a79b2853d580d291f28caab6,8,7,4,3,1,0,4,0.5
ABA,arctic_a0002,e6de83259c1324359dd80f561469e94b14296cc1059f680a210b45935bcc9b90,1eb4d2989290bee5a8075998c627c1dff923bb1d9f0496fa1c54147d2494d861,99651f052c1a033edf4fbf09288dfc0ff8a9d82854f9addb9a7aa416073513dc,8,9,6,2,0,1,3,0.375
ABA,arctic_a0003,382cab742d9453bc67f9085af2ea443f07327440114ee0bdc8a97713ca016fba,b7c2369e576b8f044a14ac2de56c2292e5423a3f86183732661cddfe3f25be01,4bda99a229fa5180b9aa6886c84724c8e6cb069198e9af1ffe788b4b5568ae6b,11,11,11,0,0,0,0,0.0
ABA,arctic_a0004,c9a46e557fb0ab622e2571c044e08258562fb842e539be39e297a87dd6de3d1c,4bc53b974a911e2d6a33ca8f4a214d071af6ee84b1927bd6d91422d88046acdc,255a6c3b1319f74c329b60dc477b067f7638e2560ebbeb024fa12f403ae10a42,10,10,10,0,0,0,0,0.0
ABA,arctic_a0005,40619909edb973124cb72cdedc1a1b0d9241da47a6557b62ae43e61934f4d311,b3c6447a41d3fa3fe0395dd70dd6b984e75ea98c3d319f6a74d7a71c7de67dd1,7cb6b40bd13699b1a2d82cfcf840b0991c47b2f09af2eadb4bdb4b876e921c1b,5,5,5,0,0,0,0,0.0
ABA,arctic_a0006,c09eb46ebeb2d61aaca4efc2335e0b86d6c6d0d5615a218997bf60d17e7b2502,4e9e3214dbd70828ccb8bee81cbc2bfd5c65916e41ff9cb0cf7da700fc94c4f4,f5abc035abfba681177b0c11f5db4176b7c7a48bcaa3fae22e8cdacce7e98319,12,12,11,1,0,0,1,0.083333333333
ABA,arctic_a0007,2966f3a9cb75ba7059591cabf86443ca2968d552f3a5aad96a3946fb9a7bb4f2,086c4892364bfca0d9d97e0616691be2d25f3b6aeaa0c0acf925041f9143e385,d8074e8b5c229c3d37ed8215701031312e21dbec0ffe3da284eec97d43ade1f2,11,11,11,0,0,0,0,0.0
ABA,arctic_a0008,87669d7a162c2b7878f2da91450cab19092d981b7e7f3eb6250eb65e2b10cb46,ed4cdc0025db24c7da4e536e06461c089d6e51c86b8f2e6ad1b2c288d652bf7f,80ac86cf54a8d3dcd8f9c5069f42623844aa68d35d16bda309e72dcd7c3bdff6,7,7,6,1,0,0,1,0.142857142857
ABA,arctic_a0009,5d5b0593c95ac1af920a4006abeefc6cc3b6998408cb83ec032e6ae59074b82f,694194d53c354afd9b70330134403d3c45b85bd3833c1726880a3793407d964a,5e8c9799da7adcb00aa323558b833bccea697f3eebaa970da18a8f704e3795a8,9,12,8,1,0,3,4,0.444444444444
ABA,arctic_a0010,ee33f4b65ed47604b8f8b8427733b6f3726a9d45947388f1e92c2eb899f4be02,cc4afa9af87416157bf201960c7f19cac73bc6b7f4e13a122babdca4e2b38f3f,c7eecac15e8a0e7418c2b07becf1ae1e7cc600fa5cfdad9feab679cb932d330a,13,13,13,0,0,0,0,0.0
ABA,arctic_a0011,1f2105bb8a9c9a297fb943ceaf7558c7c20b943cb21181df6ad76b25f3508a5b,7c9b84f9187476cc83db012a55e64295749e972d68c7913a7c7ab92c9f94498b,4c12ddf9c00429b9d3837092e4c0379a531b3374a2431bc3058cf7166c74cd31,13,13,13,0,0,0,0,0.0
ABA,arctic_a0012,b04ba7672c8c359a609bf6ffee78cc8dba0a485cb89122cc68467f70a3fa2b08,4d30fe5a99606ed8e3a5e80a224eb7e0d50012cd3550528b0a864adf4cd2e74c,df5e76dee41773e520bd855ea95598beb4235846306f15893217eb66d50ee221,10,10,10,0,0,0,0,0.0
ABA,arctic_a0013,0658e6f23e333cfbcdbe6b32f89999c01a9f81449a04ea2e8cac65c3ac577a50,06297fe0910774e169fa464845fb2de38514feba34dc4c3395956df9ae828a02,7cdf2f59ab99baacc8648a19c97330c84370a8502751f1a9a264d4426b23035b,12,12,11,1,0,0,1,0.083333333333
